datetime,year,month,day,hour,station_1,station_2,station_3,station_4,station_5,station_6,station_7,station_8,station_9,station_10,station_11,zone_18,target,workday
2008-07-01 00:00:00,2008,7,1,0,74.0,60.0,63.0,72.0,69.0,66.0,68.0,71.0,64.0,67.0,59.0,170323.0,151755.0,1
2008-07-01 01:00:00,2008,7,1,1,74.0,60.0,64.0,71.0,68.0,65.0,66.0,69.0,62.0,65.0,58.0,151755.0,140275.0,1
2008-07-01 02:00:00,2008,7,1,2,73.0,59.0,65.0,70.0,66.0,65.0,65.0,68.0,62.0,64.0,59.0,140275.0,135008.0,1
2008-07-01 03:00:00,2008,7,1,3,72.0,58.0,62.0,69.0,67.0,64.0,64.0,66.0,62.0,63.0,56.0,135008.0,136282.0,1
2008-07-01 04:00:00,2008,7,1,4,72.0,55.0,62.0,67.0,67.0,62.0,64.0,66.0,60.0,63.0,56.0,136282.0,149109.0,1
2008-07-01 05:00:00,2008,7,1,5,72.0,55.0,64.0,65.0,66.0,61.0,63.0,65.0,60.0,61.0,57.0,149109.0,165438.0,1
2008-07-01 06:00:00,2008,7,1,6,73.0,59.0,66.0,66.0,68.0,63.0,65.0,66.0,63.0,64.0,58.0,165438.0,179933.0,1
2008-07-01 07:00:00,2008,7,1,7,78.0,62.0,69.0,70.0,70.0,68.0,69.0,70.0,67.0,68.0,60.0,179933.0,190522.0,1
2008-07-01 08:00:00,2008,7,1,8,78.0,65.0,72.0,73.0,72.0,71.0,73.0,73.0,71.0,72.0,63.0,190522.0,204714.0,1
2008-07-01 09:00:00,2008,7,1,9,80.0,67.0,74.0,78.0,74.0,73.0,75.0,76.0,73.0,74.0,65.0,204714.0,220949.0,1
2008-07-01 10:00:00,2008,7,1,10,81.0,67.0,75.0,80.0,77.0,75.0,76.0,78.0,76.0,75.0,68.0,220949.0,234191.0,1
2008-07-01 11:00:00,2008,7,1,11,81.0,69.0,78.0,81.0,79.0,77.0,77.0,79.0,75.0,77.0,69.0,234191.0,245725.0,1
2008-07-01 12:00:00,2008,7,1,12,81.0,70.0,79.0,82.0,81.0,78.0,78.0,81.0,77.0,79.0,68.0,245725.0,253062.0,1
2008-07-01 13:00:00,2008,7,1,13,81.0,70.0,80.0,84.0,81.0,79.0,80.0,82.0,75.0,79.0,70.0,253062.0,255915.0,1
2008-07-01 14:00:00,2008,7,1,14,82.0,72.0,81.0,85.0,82.0,80.0,80.0,82.0,78.0,80.0,70.0,255915.0,242791.0,1
2008-07-01 15:00:00,2008,7,1,15,81.0,74.0,82.0,86.0,83.0,80.0,82.0,84.0,78.0,81.0,72.0,242791.0,253690.0,1
2008-07-01 16:00:00,2008,7,1,16,81.0,73.0,80.0,85.0,82.0,78.0,78.0,83.0,78.0,79.0,72.0,253690.0,277256.0,1
