datetime,year,month,day,hour,station_1,station_2,station_3,station_4,station_5,station_6,station_7,station_8,station_9,station_10,station_11,zone_9,target,workday
2008-07-01 00:00:00,2008,7,1,0,74.0,60.0,63.0,72.0,69.0,66.0,68.0,71.0,64.0,67.0,59.0,75621.0,76314.0,1
2008-07-01 01:00:00,2008,7,1,1,74.0,60.0,64.0,71.0,68.0,65.0,66.0,69.0,62.0,65.0,58.0,76314.0,76377.0,1
2008-07-01 02:00:00,2008,7,1,2,73.0,59.0,65.0,70.0,66.0,65.0,65.0,68.0,62.0,64.0,59.0,76377.0,79422.0,1
2008-07-01 03:00:00,2008,7,1,3,72.0,58.0,62.0,69.0,67.0,64.0,64.0,66.0,62.0,63.0,56.0,79422.0,80346.0,1
2008-07-01 04:00:00,2008,7,1,4,72.0,55.0,62.0,67.0,67.0,62.0,64.0,66.0,60.0,63.0,56.0,80346.0,92820.0,1
2008-07-01 05:00:00,2008,7,1,5,72.0,55.0,64.0,65.0,66.0,61.0,63.0,65.0,60.0,61.0,57.0,92820.0,93450.0,1
2008-07-01 06:00:00,2008,7,1,6,73.0,59.0,66.0,66.0,68.0,63.0,65.0,66.0,63.0,64.0,58.0,93450.0,91266.0,1
2008-07-01 07:00:00,2008,7,1,7,78.0,62.0,69.0,70.0,70.0,68.0,69.0,70.0,67.0,68.0,60.0,91266.0,90279.0,1
2008-07-01 08:00:00,2008,7,1,8,78.0,65.0,72.0,73.0,72.0,71.0,73.0,73.0,71.0,72.0,63.0,90279.0,79401.0,1
2008-07-01 09:00:00,2008,7,1,9,80.0,67.0,74.0,78.0,74.0,73.0,75.0,76.0,73.0,74.0,65.0,79401.0,77784.0,1
2008-07-01 10:00:00,2008,7,1,10,81.0,67.0,75.0,80.0,77.0,75.0,76.0,78.0,76.0,75.0,68.0,77784.0,66276.0,1
2008-07-01 11:00:00,2008,7,1,11,81.0,69.0,78.0,81.0,79.0,77.0,77.0,79.0,75.0,77.0,69.0,66276.0,64134.0,1
2008-07-01 12:00:00,2008,7,1,12,81.0,70.0,79.0,82.0,81.0,78.0,78.0,81.0,77.0,79.0,68.0,64134.0,55608.0,1
2008-07-01 13:00:00,2008,7,1,13,81.0,70.0,80.0,84.0,81.0,79.0,80.0,82.0,75.0,79.0,70.0,55608.0,21819.0,1
2008-07-01 14:00:00,2008,7,1,14,82.0,72.0,81.0,85.0,82.0,80.0,80.0,82.0,78.0,80.0,70.0,21819.0,21756.0,1
2008-07-01 15:00:00,2008,7,1,15,81.0,74.0,82.0,86.0,83.0,80.0,82.0,84.0,78.0,81.0,72.0,21756.0,20307.0,1
2008-07-01 16:00:00,2008,7,1,16,81.0,73.0,80.0,85.0,82.0,78.0,78.0,83.0,78.0,79.0,72.0,20307.0,25830.0,1
2008-07-01 17:00:00,2008,7,1,17,81.0,72.0,82.0,84.0,82.0,78.0,79.0,82.0,77.0,79.0,70.0,25830.0,72807.0,1
2008-07-01 18:00:00,2008,7,1,18,80.0,71.0,80.0,83.0,82.0,78.0,78.0,81.0,76.0,78.0,70.0,72807.0,74466.0,1
2008-07-01 19:00:00,2008,7,1,19,78.0,69.0,77.0,80.0,80.0,76.0,76.0,78.0,75.0,76.0,69.0,74466.0,76398.0,1
2008-07-01 20:00:00,2008,7,1,20,74.0,65.0,74.0,77.0,77.0,70.0,73.0,73.0,72.0,71.0,65.0,76398.0,79653.0,1
2008-07-01 21:00:00,2008,7,1,21,75.0,61.0,71.0,74.0,72.0,67.0,70.0,69.0,67.0,68.0,64.0,79653.0,78855.0,1
2008-07-01 22:00:00,2008,7,1,22,71.0,59.0,68.0,72.0,72.0,65.0,68.0,66.0,65.0,64.0,62.0,78855.0,80871.0,1
2008-07-01 23:00:00,2008,7,1,23,71.0,57.0,68.0,68.0,71.0,62.0,67.0,64.0,65.0,62.0,60.0,80871.0,80955.0,1
2008-07-02 00:00:00,2008,7,2,0,71.0,55.0,68.0,66.0,70.0,61.0,66.0,62.0,64.0,60.0,57.0,80955.0,80346.0,1
2008-07-02 01:00:00,2008,7,2,1,69.0,55.0,67.0,65.0,69.0,61.0,66.0,61.0,64.0,60.0,55.0,80346.0,80577.0,1
2008-07-02 02:00:00,2008,7,2,2,68.0,53.0,67.0,65.0,67.0,59.0,64.0,62.0,63.0,59.0,55.0,80577.0,77154.0,1
2008-07-02 03:00:00,2008,7,2,3,67.0,52.0,66.0,64.0,66.0,59.0,65.0,60.0,63.0,58.0,53.0,77154.0,59220.0,1
2008-07-02 04:00:00,2008,7,2,4,67.0,51.0,65.0,63.0,66.0,57.0,64.0,60.0,62.0,57.0,52.0,59220.0,31038.0,1
2008-07-02 05:00:00,2008,7,2,5,66.0,51.0,60.0,63.0,66.0,58.0,63.0,61.0,62.0,57.0,51.0,31038.0,17178.0,1
2008-07-02 06:00:00,2008,7,2,6,70.0,53.0,67.0,64.0,68.0,59.0,64.0,63.0,63.0,59.0,53.0,17178.0,10542.0,1
2008-07-02 07:00:00,2008,7,2,7,75.0,58.0,72.0,70.0,72.0,66.0,69.0,70.0,70.0,66.0,59.0,10542.0,9303.0,1
2008-07-02 08:00:00,2008,7,2,8,78.0,65.0,75.0,75.0,76.0,71.0,74.0,73.0,73.0,71.0,64.0,9303.0,9408.0,1
2008-07-02 09:00:00,2008,7,2,9,80.0,71.0,78.0,79.0,78.0,77.0,78.0,79.0,77.0,78.0,69.0,9408.0,8064.0,1
2008-07-02 10:00:00,2008,7,2,10,81.0,75.0,79.0,81.0,80.0,79.0,80.0,81.0,80.0,80.0,74.0,8064.0,7497.0,1
2008-07-02 11:00:00,2008,7,2,11,82.0,77.0,81.0,83.0,82.0,82.0,82.0,82.0,81.0,82.0,77.0,7497.0,7938.0,1
2008-07-02 12:00:00,2008,7,2,12,83.0,78.0,82.0,84.0,83.0,82.0,82.0,84.0,82.0,83.0,79.0,7938.0,6993.0,1
